gene_id,symbol,all_symbols,source_group,go_ids,go_names
7517,XRCC3,XRCC3,GO10,GO:0000724;GO:0006281;GO:0006974;GO:0036297;GO:0043596;GO:0045003,DNA damage response;DNA repair;double-strand break repair via homologous recombination;double-strand break repair via synthesis-dependent strand annealing;interstrand cross-link repair;nuclear replication fork
7518,XRCC4,XRCC4,GO10,GO:0006281;GO:0006284;GO:0006302;GO:0006303;GO:0006974,base-excision repair;DNA damage response;DNA repair;double-strand break repair;double-strand break repair via nonhomologous end joining
7520,XRCC5,XRCC5,GO10,GO:0000725;GO:0006281;GO:0006302;GO:0006303;GO:0006974,DNA damage response;DNA repair;double-strand break repair;double-strand break repair via nonhomologous end joining;recombinational repair
7528,YY1,YY1,GO10,GO:0000724;GO:0006281;GO:0006974;GO:0031011,DNA damage response;DNA repair;double-strand break repair via homologous recombination;Ino80 complex
755,CFAP410,CFAP410,GO10,GO:0006974,DNA damage response
7737,RNF113A,RNF113A,GO10,GO:0006281;GO:0006974,DNA damage response;DNA repair
7767,ZNF224,ZNF224,GO10,GO:0031965,nuclear membrane
7779,SLC30A1,SLC30A1,GO10,GO:0031965,nuclear membrane
7832,BTG2,BTG2,GO10,GO:0006281;GO:0006974,DNA damage response;DNA repair
7874,USP7,USP7,GO10,GO:0006281;GO:0006283;GO:0006307;GO:0006974,DNA alkylation repair;DNA damage response;DNA repair;transcription-coupled nucleotide-excision repair
78994,PRR14,PRR14,GO10,GO:0005652,nuclear lamina
78995,HROB,HROB,GO10,GO:0000725;GO:0000731;GO:0006281;GO:0006974;GO:0036297,DNA damage response;DNA repair;DNA synthesis involved in DNA repair;interstrand cross-link repair;recombinational repair
78996,CYREN,CYREN,GO10,GO:0006281;GO:0006303;GO:0006974,DNA damage response;DNA repair;double-strand break repair via nonhomologous end joining
79000,AUNIP,AUNIP,GO10,GO:0000724;GO:0006281;GO:0006974,DNA damage response;DNA repair;double-strand break repair via homologous recombination
79023,NUP37,NUP37,GO10,GO:0005635;GO:0005643;GO:0031080,nuclear envelope;nuclear pore;nuclear pore outer ring
79035,NABP2,NABP2,GO10,GO:0000724;GO:0006281;GO:0006974,DNA damage response;DNA repair;double-strand break repair via homologous recombination
79041,TMEM38A,TMEM38A,GO10,GO:0031965,nuclear membrane
79050,NOC4L,NOC4L,GO10,GO:0031965,nuclear membrane
79068,FTO,FTO,GO10,GO:0006307,DNA alkylation repair
79073,TMEM109,TMEM109,GO10,GO:0005640;GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;nuclear outer membrane
7917,BAG6,BAG6,GO10,GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
79173,BRME1,BRME1,GO10,GO:1990918,double-strand break repair involved in meiotic recombination
79184,BRCC3,BRCC3,GO10,GO:0006281;GO:0006302;GO:0006974;GO:0007095;GO:0140861,DNA damage response;DNA repair;DNA repair-dependent chromatin remodeling;double-strand break repair;mitotic G2 DNA damage checkpoint signaling
79188,TMEM43,TMEM43,GO10,GO:0005637,nuclear inner membrane
79447,PAGR1,PAGR1,GO10,GO:0006281;GO:0006974,DNA damage response;DNA repair
79595,SAP130,SAP130,GO10,GO:0070822,Sin3-type complex
79621,RNASEH2B,RNASEH2B,GO10,GO:0006298,mismatch repair
79624,ARMT1,ARMT1,GO10,GO:0006974,DNA damage response
79639,TMEM53,TMEM53,GO10,GO:0005640;GO:0031965,nuclear membrane;nuclear outer membrane
79641,ROGDI,ROGDI,GO10,GO:0005635,nuclear envelope
79643,CHMP6,CHMP6,GO10,GO:0005635;GO:0005643,nuclear envelope;nuclear pore
79661,NEIL1,NEIL1,GO10,GO:0006281;GO:0006284;GO:0006287;GO:0006974;GO:0045008,"base-excision repair;base-excision repair, gap-filling;depyrimidination;DNA damage response;DNA repair"
79668,PARP8,PARP8,GO10,GO:0005635,nuclear envelope
79677,SMC6,SMC6,GO10,GO:0000724;GO:0006281;GO:0006974,DNA damage response;DNA repair;double-strand break repair via homologous recombination
79685,SAP30L,SAP30L,GO10,GO:0070822,Sin3-type complex
79728,PALB2,PALB2,GO10,GO:0000724;GO:0006281;GO:0006974,DNA damage response;DNA repair;double-strand break repair via homologous recombination
79738,BBS10,BBS10,GO10,GO:0006974,DNA damage response
79759,ZNF668,ZNF668,GO10,GO:0006281,DNA repair
79789,CLMN,CLMN,GO10,GO:0005640;GO:0034993,meiotic nuclear membrane microtubule tethering complex;nuclear outer membrane
7979,SEM1,SEM1,GO10,GO:0000724,double-strand break repair via homologous recombination
79791,FBXO31,FBXO31,GO10,GO:0006974;GO:0031571;GO:0042770,DNA damage response;mitotic G1 DNA damage checkpoint signaling;signal transduction in response to DNA damage
79840,NHEJ1,NHEJ1,GO10,GO:0006281;GO:0006302;GO:0006303;GO:0006974,DNA damage response;DNA repair;double-strand break repair;double-strand break repair via nonhomologous end joining
79858,NEK11,NEK11,GO10,GO:0031573,mitotic intra-S DNA damage checkpoint signaling
79902,NUP85,NUP85,GO10,GO:0005635;GO:0005643;GO:0017056;GO:0031080;GO:0031965,nuclear envelope;nuclear membrane;nuclear pore;nuclear pore outer ring;structural constituent of nuclear pore
79913,ACTR5,ACTR5,GO10,GO:0006281;GO:0006302;GO:0006974;GO:0031011;GO:0070914,DNA damage response;DNA repair;double-strand break repair;Ino80 complex;UV-damage excision repair
79915,ATAD5,ATAD5,GO10,GO:0006974;GO:0008630;GO:0042770;GO:0042771,DNA damage response;intrinsic apoptotic signaling pathway in response to DNA damage;intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;signal transduction in response to DNA damage
79968,WDR76,WDR76,GO10,GO:0006974,DNA damage response
79982,DNAJB14,DNAJB14,GO10,GO:0031965,nuclear membrane
80010,RMI1,RMI1,GO10,GO:0000724,double-strand break repair via homologous recombination
80013,MINDY3,MINDY3,GO10,GO:0031965,nuclear membrane
80119,PIF1,PIF1,GO10,GO:0006281;GO:0006974,DNA damage response;DNA repair
80124,VCPIP1,VCPIP1,GO10,GO:0006281;GO:0006974;GO:0106300,DNA damage response;DNA repair;protein-DNA covalent cross-linking repair
80149,ZC3H12A,ZC3H12A,GO10,GO:0006974,DNA damage response
80169,CTC1,CTC1,GO10,GO:0006974,DNA damage response
80198,MUS81,MUS81,GO10,GO:0000727;GO:0006281;GO:0006302;GO:0006974;GO:0031573;GO:0043596,DNA damage response;DNA repair;double-strand break repair;double-strand break repair via break-induced replication;mitotic intra-S DNA damage checkpoint signaling;nuclear replication fork
8021,NUP214,NUP214,GO10,GO:0005635;GO:0005643;GO:0017056;GO:1990876,cytoplasmic side of nuclear pore;nuclear envelope;nuclear pore;structural constituent of nuclear pore
80233,FAAP100,FAAP100,GO10,GO:0006281;GO:0006974;GO:0036297,DNA damage response;DNA repair;interstrand cross-link repair
80254,CEP63,CEP63,GO10,GO:0000077;GO:0006974;GO:0042770,DNA damage checkpoint signaling;DNA damage response;signal transduction in response to DNA damage
80279,CDK5RAP3,CDK5RAP3,GO10,GO:0007095,mitotic G2 DNA damage checkpoint signaling
